,Titles,Tv,Ep,SD,Ed,Ratings,Genres,Source,Demographic,Producers
185,Sen to Chihiro no Kamikakushi,Movie,,Jul 2001, Jul 2001,8.77,"['Adventure', 'Award Winning', 'Supernatural', 'Mythology']",Adventure,Not specified,"['Dentsu', 'TOHO', 'Tokuma Shoten', 'Tohokushinsha Film Corporation', 'Nippon Television Network', 'Mitsubishi']"
186,Hajime no Ippo,TV,75 eps,Oct 2000, Mar 2002,8.77,"['Sports', 'Combat Sports', 'Shounen']",Manga,Shounen,['VAP']
187,Shingeki no Kyojin: The Final Season Part 2,TV,12 eps,Jan 2022, Apr 2022,8.76,"['Action', 'Drama', 'Suspense', 'Gore', 'Military', 'Survival', 'Shounen']",Manga,Shounen,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprises']"
188,Monogatari Series: Second Season,TV,26 eps,Jul 2013, Dec 2013,8.76,"['Comedy', 'Mystery', 'Romance', 'Supernatural', 'Vampire']",Light novel,Not specified,"['Aniplex', 'Kodansha', 'Cyclone Graphics']"
189,Cowboy Bebop,TV,26 eps,Apr 1998, Apr 1999,8.75,"['Action', 'Award Winning', 'Sci-Fi', 'Adult Cast', 'Space']",Action,Not specified,['Bandai Visual']
190,Hibike! Euphonium 3,TV,13 eps,Apr 2024, Jun 2024,8.75,"['Drama', 'Music', 'Performing Arts', 'School']",Drama,Not specified,"['Lantis', 'Pony Canyon', 'Rakuonsha', 'ABC Animation', 'Heart Company', 'Bandai Namco Music Live']"
191,The First Slam Dunk,Movie,,Dec 2022, Dec 2022,8.75,"['Award Winning', 'Sports', 'School', 'Team Sports', 'Shounen']",Manga,Shounen,['Shueisha']
192,Vinland Saga,TV,24 eps,Jul 2019, Dec 2019,8.75,"['Action', 'Adventure', 'Drama', 'Gore', 'Historical', 'Seinen']",Manga,Seinen,"['Production I.G', 'Dentsu', 'Kodansha', 'Twin Engine']"
193,Kimetsu no Yaiba: Yuukaku-hen,TV,11 eps,Dec 2021, Feb 2022,8.74,"['Action', 'Fantasy', 'Historical', 'Shounen']",Manga,Shounen,"['Aniplex', 'Shueisha']"
194,Kingdom 4th Season,TV,26 eps,Apr 2022, Oct 2022,8.74,"['Action', 'Historical', 'Military', 'Seinen']",Manga,Seinen,"['Avex Pictures', 'Shueisha', 'NHK Enterprises']"
